"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
32,"Traditional",0,2,4.33,3.16,3.6,3.6,3.2,3.47,2.5,3.5,3.5,2
33,"AVI",1,2.78,3,2.89,3.4,3.6,3.8,3.6,2.75,2.75,2.25,4
33,"Traditional",0,4.11,4.89,4.5,4.2,4.8,4.4,4.47,2.75,2.75,3,2
34,"AVI",1,3.44,2.89,3.16,3.4,3.4,4.4,3.73,4.75,3.5,2.25,4
34,"Traditional",0,2.56,3.11,2.84,3.6,3.2,2.8,3.2,3.25,2.25,2.25,2.5
35,"AVI",1,3.22,3.33,3.28,3.6,3.4,3.2,3.4,3.75,3,3,3.75
35,"Traditional",0,3.44,4.22,3.83,4.2,4.2,4.6,4.33,3.25,NA,2.5,3.25
36,"AVI",1,3.56,3,3.28,3.2,4,3.6,3.6,3.25,3,3,3.5
36,"Traditional",0,4.11,4.56,4.34,4.2,4.2,4.6,4.33,4.75,4,3.5,4.75
37,"AVI",1,4.33,3.22,3.78,3.2,4.6,3.6,3.8,4.5,3.5,2.25,3
37,"Traditional",0,3.56,3.56,3.56,3.6,3.4,3.8,3.6,4.25,4.5,3.75,3.25
38,"AVI",1,2.44,2.11,2.28,3,3.4,2.2,2.87,3.25,NA,2.25,2.5
38,"Traditional",0,3,3.89,3.45,3.6,4.2,4.2,4,3.5,3.25,3,3
39,"AVI",1,2.89,3.33,3.11,3.4,4.8,5,4.4,4.5,5,4.25,4.25
39,"Traditional",0,4.22,4.22,4.22,5,4.4,4.6,4.67,3.5,3.75,4,2.75
40,"AVI",1,2.44,1.67,2.05,3,2.2,3,2.73,3.25,2,2.5,4.25
40,"Traditional",0,3.33,2.78,3.05,2.6,3,3.6,3.07,3.75,2.75,3,2.75
41,"AVI",1,3.89,3.67,3.78,3.2,4.6,4.2,4,4.25,4.25,3,4
41,"Traditional",0,2.89,4.44,3.66,4.2,4.6,4,4.27,3,4.25,3.75,3
42,"AVI",1,2.22,2,2.11,2.4,2.2,2,2.2,1.75,2,1.75,2.25
42,"Traditional",0,4.67,4.44,4.56,4.2,4.8,4.8,4.6,4,4,4.75,4
43,"AVI",1,3.22,2.56,2.89,3,2.8,2.6,2.8,2,2.5,2,2.25
43,"Traditional",0,3.56,4.78,4.17,4,4.4,4.4,4.27,3.5,3.5,3.75,3.25
44,"AVI",1,3.67,2.78,3.22,3.4,4.8,5,4.4,4.5,5,4.5,3.75
44,"Traditional",0,4.44,5,4.72,4.2,5,4.8,4.67,NA,4.75,5,4.5
45,"AVI",1,3,2.33,2.66,2.6,3,3.6,3.07,3,2.25,2,3.5
45,"Traditional",0,2.89,4.33,3.61,4.2,4.6,4.2,4.33,3,4,3.75,3.25
46,"AVI",1,3.89,3.22,3.56,3.4,4.6,4.6,4.2,4.75,3.5,3.5,4
46,"Traditional",0,3.56,4.22,3.89,4.2,4.6,4.8,4.53,4.25,3.25,4.5,4.25
47,"AVI",1,3.33,2.56,2.95,3,3.6,3.4,3.33,3,2.25,2.5,3
47,"Traditional",0,2.67,2.89,2.78,2.4,3.2,2.8,2.8,3.5,2,2,2.5
48,"AVI",1,3.56,2.33,2.95,2.8,3.2,3.4,3.13,3.25,3,2.75,3.75
48,"Traditional",0,3.44,4.22,3.83,4,4.8,4.4,4.4,4,4.5,4,3.75
