"id","condition","TBD1","TBD2","CJR1","PJR1","OTP1","COA1","COA2","COA3","RO1","TRM1","TRM2","TRM3","TRM4","TWC1","TWC2","TWC3","TWC4","TWC5","GA1","GA2","GA3","GA4","GA5","IP1","IP2","IP3","IP4","IP5","PRS1","PRS2","PRS3","PRS4","PRS5","OCP1","OCP2","OCP3","OCP4","OCP5","OCP6","OCP7","OCP8","OCP9","OCP10","OCP11","OCP12","OCP13","OCP14","OCP15","OCP16"
79,"Traditional",4,4,5,4,5,2,2,1,2,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,2,4,3,5,3,5,5,5,5,5,2,5,3,4
80,"AVI",4,5,4,4,4,5,5,4,5,4,4,3,3,1,1,2,1,1,4,3,4,5,4,5,4,5,5,4,5,4,4,4,4,4,3,5,4,4,4,4,4,4,3,3,3,4,4,3,5
80,"Traditional",2,5,4,2,4,5,5,5,5,4,4,3,3,2,1,2,1,1,5,5,5,5,5,5,5,5,5,4,5,5,4,5,1,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5
81,"AVI",2,1,3,1,2,1,2,1,5,3,3,3,4,1,1,2,2,1,2,4,2,4,2,3,2,4,4,3,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,1,2,4,4,4,1
81,"Traditional",2,2,4,2,4,2,2,2,5,4,5,4,4,5,5,5,4,2,4,4,NA,4,4,4,4,5,4,4,3,4,2,4,4,2,3,2,2,3,3,3,4,4,4,4,4,3,3,2,3
82,"AVI",4,4,4,4,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,2,4
82,"Traditional",5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,3,5,5,4,4,4,2,5
83,"AVI",5,3,4,4,2,3,3,5,5,5,5,5,4,2,2,3,2,2,4,5,3,5,3,4,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
83,"Traditional",4,5,4,3,4,3,3,5,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5
84,"AVI",2,1,2,3,1,2,5,4,5,3,3,1,2,1,4,1,1,1,2,2,1,2,2,2,1,4,4,2,3,3,3,3,2,3,3,5,5,2,3,1,2,1,1,1,1,5,3,2,2
84,"Traditional",5,4,3,2,3,5,5,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,5,3,5,5,3,3,4,2,4,3,4,5,4,3,2,1,5,4,4,3,3,3,4
85,"AVI",5,3,5,3,5,4,5,3,2,4,5,5,4,3,2,4,5,4,5,1,2,5,2,1,2,2,3,5,4,4,3,3,3,2,4,4,4,3,3,5,5,3,5,4,3,5,2,3,4
